2026-01-15 14:31:06,859 INFO    MainThread:157592 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_setup.py:_flush():76] Configure stats pid to 157592
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_setup.py:_flush():76] Loading settings from /nas-ctm01/homes/fmferreira/.config/wandb/settings
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_setup.py:_flush():76] Loading settings from /nas-ctm01/homes/fmferreira/AI4LUNGS/wandb/settings
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'encoder_survivalhead.py', 'program': '/nas-ctm01/homes/fmferreira/AI4LUNGS/encoder_survivalhead.py'}
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_init.py:_log_setup():507] Logging user logs to ./wandb/run-20260115_143106-x7e081vs/logs/debug.log
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_init.py:_log_setup():508] Logging internal logs to ./wandb/run-20260115_143106-x7e081vs/logs/debug-internal.log
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_init.py:init():547] calling init triggers
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 100, 'batch_size': 32, 'model_type': 'MLP_Cox'}
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_init.py:init():596] starting backend
2026-01-15 14:31:06,860 INFO    MainThread:157592 [wandb_init.py:init():600] setting up manager
2026-01-15 14:31:06,860 INFO    MainThread:157592 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-01-15 14:31:06,861 INFO    MainThread:157592 [wandb_init.py:init():606] backend started and connected
2026-01-15 14:31:06,863 INFO    MainThread:157592 [wandb_init.py:init():700] updated telemetry
2026-01-15 14:31:06,897 INFO    MainThread:157592 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2026-01-15 14:31:08,473 INFO    MainThread:157592 [wandb_run.py:_on_init():2177] communicating current version
2026-01-15 14:31:08,537 INFO    MainThread:157592 [wandb_run.py:_on_init():2186] got version response upgrade_message: "wandb version 0.24.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2026-01-15 14:31:08,537 INFO    MainThread:157592 [wandb_init.py:init():787] starting run threads in backend
2026-01-15 14:31:10,964 INFO    MainThread:157592 [wandb_run.py:_console_start():2158] atexit reg
2026-01-15 14:31:10,964 INFO    MainThread:157592 [wandb_run.py:_redirect():2013] redirect: 3
2026-01-15 14:31:10,964 INFO    MainThread:157592 [wandb_run.py:_redirect():2078] Wrapping output streams.
2026-01-15 14:31:10,964 INFO    MainThread:157592 [wandb_run.py:_redirect():2103] Redirects installed.
2026-01-15 14:31:10,965 INFO    MainThread:157592 [wandb_init.py:init():829] run started, returning control to user process
2026-01-15 14:36:05,808 INFO    MainThread:157592 [wandb_run.py:_finish():1893] finishing run franciscosacouto-inesc-tec/evaluate_region_of_interest/x7e081vs
2026-01-15 14:36:05,808 INFO    MainThread:157592 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2026-01-15 14:36:05,809 INFO    MainThread:157592 [wandb_run.py:_restore():2110] restore
2026-01-15 14:36:05,809 INFO    MainThread:157592 [wandb_run.py:_restore():2116] restore done
2026-01-15 14:36:11,523 INFO    MainThread:157592 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2026-01-15 14:36:11,523 INFO    MainThread:157592 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2026-01-15 14:36:11,537 INFO    MainThread:157592 [wandb_run.py:_footer_sync_info():3428] logging synced files
