2026-01-28 13:03:15,296 INFO    MainThread:1236754 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_setup.py:_flush():76] Configure stats pid to 1236754
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_setup.py:_flush():76] Loading settings from /nas-ctm01/homes/fmferreira/.config/wandb/settings
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_setup.py:_flush():76] Loading settings from /nas-ctm01/homes/fmferreira/AI4LUNGS/wandb/settings
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'encoder_survivalhead.py', 'program': '/nas-ctm01/homes/fmferreira/AI4LUNGS/encoder_survivalhead.py'}
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_init.py:_log_setup():507] Logging user logs to ./wandb/run-20260128_130315-4uy6ikuk/logs/debug.log
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_init.py:_log_setup():508] Logging internal logs to ./wandb/run-20260128_130315-4uy6ikuk/logs/debug-internal.log
2026-01-28 13:03:15,297 INFO    MainThread:1236754 [wandb_init.py:init():547] calling init triggers
2026-01-28 13:03:15,298 INFO    MainThread:1236754 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0001, 'epochs': 100, 'batch_size': 32, 'model_type': 'MLP_Cox'}
2026-01-28 13:03:15,298 INFO    MainThread:1236754 [wandb_init.py:init():596] starting backend
2026-01-28 13:03:15,298 INFO    MainThread:1236754 [wandb_init.py:init():600] setting up manager
2026-01-28 13:03:15,301 INFO    MainThread:1236754 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2026-01-28 13:03:15,306 INFO    MainThread:1236754 [wandb_init.py:init():606] backend started and connected
2026-01-28 13:03:15,318 INFO    MainThread:1236754 [wandb_init.py:init():700] updated telemetry
2026-01-28 13:03:15,370 INFO    MainThread:1236754 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2026-01-28 13:03:16,151 INFO    MainThread:1236754 [wandb_run.py:_on_init():2177] communicating current version
2026-01-28 13:03:16,283 INFO    MainThread:1236754 [wandb_run.py:_on_init():2186] got version response upgrade_message: "wandb version 0.24.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2026-01-28 13:03:16,283 INFO    MainThread:1236754 [wandb_init.py:init():787] starting run threads in backend
2026-01-28 13:03:19,727 INFO    MainThread:1236754 [wandb_run.py:_console_start():2158] atexit reg
2026-01-28 13:03:19,727 INFO    MainThread:1236754 [wandb_run.py:_redirect():2013] redirect: 3
2026-01-28 13:03:19,727 INFO    MainThread:1236754 [wandb_run.py:_redirect():2078] Wrapping output streams.
2026-01-28 13:03:19,727 INFO    MainThread:1236754 [wandb_run.py:_redirect():2103] Redirects installed.
2026-01-28 13:03:19,728 INFO    MainThread:1236754 [wandb_init.py:init():829] run started, returning control to user process
2026-01-28 13:29:07,714 INFO    MainThread:1236754 [wandb_run.py:_finish():1893] finishing run franciscosacouto-inesc-tec/evaluate_region_of_interest/4uy6ikuk
2026-01-28 13:29:07,715 INFO    MainThread:1236754 [wandb_run.py:_atexit_cleanup():2127] got exitcode: 0
2026-01-28 13:29:07,715 INFO    MainThread:1236754 [wandb_run.py:_restore():2110] restore
2026-01-28 13:29:07,715 INFO    MainThread:1236754 [wandb_run.py:_restore():2116] restore done
2026-01-28 13:29:15,830 INFO    MainThread:1236754 [wandb_run.py:_footer_history_summary_info():3469] rendering history
2026-01-28 13:29:15,832 INFO    MainThread:1236754 [wandb_run.py:_footer_history_summary_info():3501] rendering summary
2026-01-28 13:29:15,843 INFO    MainThread:1236754 [wandb_run.py:_footer_sync_info():3428] logging synced files
